date,team_a,team_b,team_a_goals,team_b_goals,tournament,neutral,elo_diff,fifa_rank_diff,recent_form_diff,goals_for_last_10_diff,goals_against_last_10_diff,goal_diff_last_10_diff,strength_gap,host_advantage_diff,result,team_a_win,draw,team_b_win
2024-02-02,Australia,South Korea,1,2,AFC Asian Cup,True,53.0,-2.0,-0.2999999999999998,-1.0,3.0,2.0,4.3,0.0,team_b_win,0,0,1
2024-02-03,Iran,Japan,2,1,AFC Asian Cup,True,-154.0,-6.0,-0.30000000000000004,4.0,1.0,5.0,5.3,0.0,team_a_win,1,0,0
2024-02-03,Qatar,Uzbekistan,1,1,AFC Asian Cup,False,-267.0,-3.0,-0.8,-8.0,-5.0,-13.0,13.8,0.0,draw,0,1,0
2024-02-03,Cape Verde,South Africa,0,0,African Cup of Nations,True,95.0,-2.0,0.0,2.0,0.0,2.0,2.0,0.0,draw,0,1,0
2024-02-06,Jordan,South Korea,2,0,AFC Asian Cup,True,-106.0,-45.0,-0.19999999999999996,2.0,-2.0,0.0,4.2,0.0,team_a_win,1,0,0
2024-02-07,Qatar,Iran,3,2,AFC Asian Cup,False,-309.0,-35.0,-1.1,-13.0,-7.0,-20.0,21.1,0.0,team_a_win,1,0,0
2024-02-07,Ivory Coast,DR Congo,1,0,African Cup of Nations,False,91.0,12.0,0.7,9.0,-2.0,7.0,11.7,0.0,team_a_win,1,0,0
2024-02-10,Qatar,Jordan,3,1,AFC Asian Cup,False,-233.0,11.0,-1.0,-11.0,1.0,-10.0,13.0,0.0,team_a_win,1,0,0
2024-02-10,South Africa,DR Congo,0,0,African Cup of Nations,True,-141.0,-18.0,-0.40000000000000013,1.0,-7.0,-6.0,8.4,0.0,draw,0,1,0
2024-03-21,Panama,Mexico,0,3,CONCACAF Nations League,True,-151.0,-29.0,-0.6999999999999997,0.0,-12.0,-12.0,12.7,-1.0,team_b_win,0,0,1
2024-03-21,Portugal,Sweden,5,2,Friendly,False,234.0,27.0,1.1999999999999997,10.0,10.0,20.0,21.2,0.0,team_a_win,1,0,0
2024-03-22,Egypt,New Zealand,1,0,FIFA Series,False,133.0,58.0,1.1,4.0,12.0,16.0,17.1,0.0,team_a_win,1,0,0
2024-03-22,Netherlands,Scotland,4,0,Friendly,False,150.0,34.0,0.0,1.0,1.0,2.0,2.0,0.0,team_a_win,1,0,0
2024-03-22,Spain,Colombia,0,1,Friendly,True,147.0,9.0,0.0,0.0,6.0,6.0,6.0,0.0,team_b_win,0,0,1
2024-03-23,Tunisia,Croatia,0,0,FIFA Series,True,-327.0,-43.0,-1.0000000000000002,-7.0,-7.0,-14.0,15.0,0.0,draw,0,1,0
2024-03-23,England,Brazil,0,1,Friendly,False,46.0,1.0,0.8,1.0,10.0,11.0,11.8,0.0,team_b_win,0,0,1
2024-03-23,France,Germany,0,2,Friendly,False,124.0,7.0,-0.5,-10.0,-2.0,-12.0,12.5,0.0,team_b_win,0,0,1
2024-03-24,United States,Mexico,2,0,CONCACAF Nations League,False,-101.0,-2.0,-0.3999999999999999,4.0,-12.0,-8.0,16.4,0.0,team_a_win,1,0,0
2024-03-26,Algeria,South Africa,3,3,FIFA Series,False,261.0,32.0,0.8999999999999999,9.0,8.0,17.0,17.9,0.0,draw,0,1,0
2024-03-26,Egypt,Croatia,2,4,FIFA Series,False,-201.0,-11.0,-0.6000000000000001,-6.0,3.0,-3.0,9.6,0.0,team_b_win,0,0,1
2024-03-26,New Zealand,Tunisia,0,0,FIFA Series,True,-7.0,-26.0,-0.7,-3.0,-2.0,-5.0,5.7,0.0,draw,0,1,0
2024-03-26,Austria,Turkey,6,1,Friendly,False,-19.0,12.0,0.2999999999999998,5.0,9.0,14.0,14.3,0.0,team_a_win,1,0,0
2024-03-26,England,Belgium,2,2,Friendly,False,145.0,6.0,0.2999999999999998,-8.0,5.0,-3.0,13.3,0.0,draw,0,1,0
2024-03-26,Germany,Netherlands,2,1,Friendly,False,-5.0,-1.0,0.8999999999999999,12.0,2.0,14.0,14.9,0.0,team_a_win,1,0,0
2024-03-26,Ivory Coast,Uruguay,2,1,Friendly,True,-127.0,-12.0,0.8,9.0,1.0,10.0,10.8,0.0,team_a_win,1,0,0
2024-03-26,Spain,Brazil,3,3,Friendly,False,151.0,2.0,0.5000000000000002,2.0,8.0,10.0,10.5,0.0,draw,0,1,0
2024-06-03,England,Bosnia and Herzegovina,3,0,Friendly,False,408.0,60.0,1.2,9.0,9.0,18.0,19.2,0.0,team_a_win,1,0,0
2024-06-05,Mexico,Uruguay,0,4,Friendly,True,11.0,8.0,0.5999999999999999,7.0,4.0,11.0,11.6,1.0,team_b_win,0,0,1
2024-06-06,Netherlands,Canada,4,0,Friendly,False,177.0,21.0,0.6000000000000001,14.0,-4.0,10.0,18.6,-1.0,team_a_win,1,0,0
2024-06-06,Senegal,DR Congo,1,1,FIFA World Cup qualification,False,208.0,26.0,0.19999999999999996,5.0,-4.0,1.0,9.2,0.0,draw,0,1,0
2024-06-08,Mexico,Brazil,2,3,Friendly,True,-97.0,-6.0,0.5999999999999999,-5.0,8.0,3.0,13.6,1.0,team_b_win,0,0,1
2024-06-08,Portugal,Croatia,1,2,Friendly,False,77.0,6.0,0.09999999999999964,7.0,1.0,8.0,8.1,0.0,team_b_win,0,0,1
2024-06-08,Switzerland,Austria,1,1,Friendly,False,35.0,2.0,-0.8,-8.0,-5.0,-13.0,13.8,0.0,draw,0,1,0
2024-06-08,United States,Colombia,1,5,Friendly,False,-202.0,-1.0,-0.30000000000000027,-3.0,-6.0,-9.0,9.3,1.0,team_b_win,0,0,1
2024-06-09,Argentina,Ecuador,1,0,Friendly,True,225.0,28.0,0.8,13.0,3.0,16.0,16.8,0.0,team_a_win,1,0,0
2024-06-09,France,Canada,0,0,Friendly,False,296.0,27.0,1.0,16.0,-4.0,12.0,21.0,-1.0,draw,0,1,0
2024-06-11,Iran,Uzbekistan,0,0,FIFA World Cup qualification,False,42.0,32.0,0.30000000000000004,5.0,2.0,7.0,7.3,0.0,draw,0,1,0
2024-06-11,Saudi Arabia,Jordan,1,2,FIFA World Cup qualification,False,-82.0,9.0,-0.5999999999999999,-6.0,2.0,-4.0,8.6,0.0,team_b_win,0,0,1
2024-06-12,United States,Brazil,1,1,Friendly,False,-198.0,-8.0,0.19999999999999996,-1.0,-4.0,-5.0,5.2,1.0,draw,0,1,0
2024-06-14,Germany,Scotland,5,1,UEFA Euro,False,145.0,33.0,0.8999999999999999,13.0,3.0,16.0,16.9,0.0,team_a_win,1,0,0
2024-06-15,Spain,Croatia,3,0,UEFA Euro,True,217.0,12.0,0.0,6.0,6.0,12.0,12.0,0.0,team_a_win,1,0,0
2024-06-16,Panama,Paraguay,0,1,Friendly,False,-50.0,-3.0,0.20000000000000018,5.0,-3.0,2.0,8.2,0.0,team_b_win,0,0,1
2024-06-17,Austria,France,0,1,UEFA Euro,True,-233.0,-19.0,0.0,2.0,5.0,7.0,7.0,0.0,team_b_win,0,0,1
2024-06-19,Scotland,Switzerland,1,1,UEFA Euro,True,-71.0,-23.0,0.40000000000000013,3.0,-1.0,2.0,4.4,0.0,draw,0,1,0
2024-06-20,Argentina,Canada,2,0,Copa América,True,348.0,26.0,1.0,16.0,2.0,18.0,19.0,-1.0,team_a_win,1,0,0
2024-06-21,Netherlands,France,0,0,UEFA Euro,True,-119.0,-6.0,-0.3999999999999999,-2.0,0.0,-2.0,2.4,0.0,draw,0,1,0
2024-06-22,Turkey,Portugal,0,3,UEFA Euro,True,-140.0,-23.0,-0.09999999999999964,-4.0,-4.0,-8.0,8.1,0.0,team_b_win,0,0,1
2024-06-23,Germany,Switzerland,1,1,UEFA Euro,False,74.0,10.0,1.3,16.0,2.0,18.0,19.3,0.0,draw,0,1,0
2024-06-23,Uruguay,Panama,3,1,Copa América,True,140.0,21.0,0.09999999999999987,-7.0,8.0,1.0,15.1,0.0,team_a_win,1,0,0
2024-06-24,Colombia,Paraguay,2,1,Copa América,True,202.0,25.0,0.8000000000000003,12.0,3.0,15.0,15.8,0.0,team_a_win,1,0,0
2024-06-25,Netherlands,Austria,2,3,UEFA Euro,True,114.0,13.0,-0.3999999999999999,-4.0,-5.0,-9.0,9.4,0.0,team_b_win,0,0,1
2024-06-27,United States,Panama,1,2,Copa América,False,50.0,27.0,0.2999999999999998,4.0,0.0,4.0,4.3,1.0,team_b_win,0,0,1
2024-06-28,Paraguay,Brazil,1,4,Copa América,True,-198.0,-32.0,-0.30000000000000004,-10.0,-1.0,-11.0,11.3,0.0,team_b_win,0,0,1
2024-06-30,Mexico,Ecuador,0,0,Copa América,True,-9.0,19.0,0.5999999999999999,6.0,2.0,8.0,8.6,1.0,draw,0,1,0
2024-07-01,France,Belgium,1,0,UEFA Euro,True,184.0,9.0,0.2999999999999998,-7.0,-2.0,-9.0,9.3,0.0,team_a_win,1,0,0
2024-07-01,United States,Uruguay,0,1,Copa América,False,-90.0,6.0,0.19999999999999996,11.0,-8.0,3.0,19.2,1.0,team_b_win,0,0,1
2024-07-02,Austria,Turkey,1,2,UEFA Euro,True,-19.0,12.0,0.2999999999999998,5.0,9.0,14.0,14.3,0.0,team_b_win,0,0,1
